Rank,Name,Platform,release_date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,controller_support,new_rating,new_rating_source
82,Gran Turismo 2,ps,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,,3,ESRB
83,Donkey Kong Country,snes,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3,,3,pre-1994
84,Animal Crossing: New Leaf,3ds,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,,3,PEGI
85,Mario Party DS,ds,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,,3,PEGI
86,Super Mario Kart,snes,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,3,pre-1994
87,Galaga,mame,1981,,,,,,,8.52,,3,pre-1994
88,Halo 2,xb,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,,16,PEGI
89,Wii Party,wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,FALSE,3,PEGI
90,Mario Party 8,wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,FALSE,3,PEGI
91,Pokemon Black 2/Pokemon White 2,ds,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,,3,ESRB
92,FIFA Soccer 13,ps3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,,3,PEGI
93,GoldenEye 007,n64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,12,ESRB
94,Mario & Sonic at the Olympic Games,wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,FALSE,3,PEGI
95,Final Fantasy X,ps2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,,12,PEGI
96,Final Fantasy VIII,ps,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,,16,ESRB
97,Pokémon Platinum Version,ds,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,,3,PEGI
98,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,,3,pre-1994
99,Grand Theft Auto: Liberty City Stories,psp,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,,18,PEGI
100,Super Mario Galaxy 2,wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,FALSE,3,PEGI
101,The Legend of Zelda: Ocarina of Time,n64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,3,ESRB
102,Crash Bandicoot 2: Cortex Strikes Back,ps,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,3,ESRB
103,Super Mario Bros. 2,nes,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,3,pre-1994
104,Super Smash Bros. for Wii U and 3DS,3ds,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,,12,PEGI
105,The Legend of Zelda: Twilight Princess,wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,FALSE,12,PEGI
106,Just Dance,wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27,FALSE,3,PEGI
107,Battlefield 3,ps3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,,16,PEGI
108,Need for Speed Underground,ps2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,,3,PEGI
109,Tekken 3,ps,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,,12,PEGI
110,Super Mario Maker 2,switch,2019,,,,,,,7.15,,3,PEGI
111,Crash Bandicoot 3: Warped,ps,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,,7,ESRB
112,Super Smash Bros. Melee,gc,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,,7,ESRB
113,Ms. Pac-Man,mame,1982,,,,,,,7.05,,3,pre-1994
114,Mario Kart 8,wiiu,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,,3,PEGI
115,Mario Kart: Double Dash!!,gc,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,3,PEGI
116,Just Dance 4,wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91,FALSE,3,PEGI
117,FIFA 14,ps3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,,3,PEGI
118,Need for Speed Underground 2,ps2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,,3,PEGI
119,Medal of Honor: Frontline,ps2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,,12,PEGI
120,Uncharted 3: Drake's Deception,ps3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,,16,PEGI
121,Crash Bandicoot,ps,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,7,ESRB
122,Zumba Fitness,wii,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81,FALSE,7,ESRB
123,Uncharted 2: Among Thieves,ps3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73,,16,PEGI
124,Call of Duty 4: Modern Warfare,ps3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,,16,PEGI
125,FIFA 12,ps3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,,3,PEGI
126,Big Brain Academy,ds,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,,3,PEGI
127,Red Dead Redemption,ps3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,,18,PEGI
128,Donkey Kong Country Returns,wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,FALSE,3,PEGI
129,The Elder Scrolls V: Skyrim,ps3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,,18,PEGI
130,The Legend of Zelda,nes,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,3,pre-1994
131,Assassin's Creed III,ps3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,,18,PEGI
132,Halo: Combat Evolved,xb,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,,16,PEGI
133,Pokémon Emerald Version,gba,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,,3,ESRB
134,Kingdom Hearts,ps2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,,7,ESRB
135,Pokémon Crystal,gbc,2000,,,,,,,6.39,,3,ESRB
136,Pokémon Crystal Version,gbc,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,,3,ESRB
137,Pokémon Crystal,gb,2000,,,,,,,6.39,,3,ESRB
138,Super Mario Sunshine,gc,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,,3,PEGI
139,Street Fighter II: The World Warrior,snes,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,,3,pre-1994
140,Driver,ps,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,,12,PEGI
141,The Legend of Zelda: Link's Awakening,switch,2019,,,,,,,6.08,,3,ESRB
142,Metal Gear Solid 2: Sons of Liberty,ps2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,,16,ESRB
143,Asteroids,mame,1979,,,,,,,6.05,,3,pre-1994
144,The Legend of Zelda: Link's Awakening,gb,1993,,,,,,,6.05,,3,pre-1994
145,Metal Gear Solid,ps,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,,16,ESRB
146,Metal Gear Solid 4: Guns of the Patriots,ps3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,,18,PEGI
147,Sonic the Hedgehog 2,gen,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,,7,ESRB
148,The Last of Us,ps3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,,18,PEGI
149,Final Fantasy XII,ps2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,,16,PEGI
150,LittleBigPlanet,ps3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,,7,PEGI
151,Dragon Quest IX: Sentinels of the Starry Skies,ds,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,,12,PEGI
152,LEGO Star Wars: The Complete Saga,wii,2007,Action,LucasArts,3.66,1.63,0,0.53,5.83,FALSE,3,PEGI
153,Resident Evil 2,ps,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,,16,ESRB
154,Tekken 2,ps,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,,12,ESRB
155,Cooking Mama,ds,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,,3,PEGI
156,Tetris,nes,1989,,,,,,,5.58,,3,pre-1994
157,Tetris,nes,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,,3,pre-1994
158,Assassin's Creed II,ps3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,,18,PEGI
159,Super Smash Bros.,n64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,,3,ESRB
160,Batman: Arkham City,ps3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,,16,PEGI
161,Monster Hunter Freedom Unite,psp,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,,12,PEGI
162,Super Mario Advance,gba,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,,3,ESRB
163,Mario Kart: Super Circuit,gba,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,,3,ESRB
164,Super Mario World,gba,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,,7,PEGI
165,Pokemon Stadium,n64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,,3,ESRB
166,Call of Duty: World at War,ps3,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43,,18,PEGI
167,Crash Bandicoot: The Wrath of Cortex,ps2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,,3,PEGI
168,Minecraft,ps3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42,,7,ESRB
169,Super Smash Bros. for Wii U,wiiu,2014,,,,,,,5.38,,12,PEGI
170,Final Fantasy XIII,ps3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,,16,PEGI
171,Dr. Mario,gb,1990,,,,,,,5.34,,3,pre-1994
172,Dr. Mario,gb,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,,3,pre-1994
173,Pokemon Pinball,gb,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,,3,ESRB
174,Mortal Kombat,mame,1992,,,,,,,5.3,,16,manual
175,Final Fantasy IX,ps,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,,12,ESRB
176,Final Fantasy X-2,ps2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,,12,PEGI
177,Donkey Kong 64,n64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,,3,ESRB
178,Professor Layton and the Curious Village,ds,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,,7,PEGI
179,Tomb Raider II,ps,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,,12,ESRB
180,Madden NFL 2004,ps2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,,3,PEGI
181,Dragon Quest VIII: Journey of the Cursed King,ps2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,,12,ESRB
182,Super Mario Bros. 3,gba,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,,3,ESRB
183,Super Mario Land 3: Wario Land,gb,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,,3,pre-1994
184,New Super Mario Bros. U,wiiu,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,,3,PEGI
185,Wario Land: Super Mario Land 3,gb,1994,,,,,,,5.19,,3,pre-1994
186,The Legend of Zelda: Phantom Hourglass,ds,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,,7,PEGI
187,Tomodachi Life,3ds,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,,3,PEGI
188,Donkey Kong Country 2: Diddy's Kong Quest,snes,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,,3,PEGI
189,Mario & Sonic at the Olympic Games,ds,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14,,3,PEGI
190,Kirby's Dream Land,gb,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,,3,pre-1994
191,Medal of Honor: Rising Sun,ps2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,,12,ESRB
192,Guitar Hero II,ps2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,,12,PEGI
193,Resident Evil 5,ps3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11,,18,PEGI
194,Grand Theft Auto: Vice City Stories,psp,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,,18,PEGI
195,FIFA Soccer 11,ps3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,,7,ESRB
196,Super Mario Bros.,gb,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,,3,manual
197,Super Mario Bros. Deluxe,gb,1999,,,,,,,5.07,,3,ESRB
198,Super Mario Bros. Deluxe,gbc,1999,,,,,,,5.07,,3,ESRB
199,Resident Evil,ps,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,,16,ESRB
200,Tony Hawk's Pro Skater,ps,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,,12,ESRB
201,Super Smash Bros. for Wii U and 3DS,wiiu,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,,12,PEGI
202,Warzone 2100,ps,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01,,12,ESRB
203,Spyro the Dragon,ps,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5,,7,PEGI
204,Link's Crossbow Training,wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5,FALSE,12,PEGI
205,Guitar Hero III: Legends of Rock,ps2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,,12,PEGI
206,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,ds,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96,,3,PEGI
207,Uncharted: Drake's Fortune,ps3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,,16,PEGI
208,Madden NFL 06,ps2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,,3,PEGI
209,LEGO Star Wars: The Complete Saga,ds,2007,Action,LucasArts,2.89,1.54,0,0.46,4.9,,3,PEGI
210,Diddy Kong Racing,n64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,,3,ESRB
211,Monster Hunter Freedom 3,psp,2010,Role-Playing,Capcom,0,0,4.87,0,4.87,,12,ESRB
212,Dr. Mario,nes,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,,3,pre-1994
213,God of War III,ps3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,,18,PEGI
214,Assassin's Creed,ps3,2007,Adventure,Ubisoft,1.91,2,0.09,0.83,4.83,,18,PEGI
215,FIFA 15,ps3,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,,3,PEGI
216,Crash Team Racing,ps,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,,3,PEGI
217,Driver 2,ps,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,,12,ESRB
218,The Simpsons: Hit & Run,ps2,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7,,12,ESRB
219,Centipede,mame,1980,,,,,,,4.7,,3,pre-1994
220,Tony Hawk's Pro Skater 2,ps,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,,12,ESRB
221,Animal Crossing: City Folk,wii,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,FALSE,3,ESRB
222,The Lord of the Rings: The Two Towers,ps2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,,12,ESRB
223,Tomb Raider,ps,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,,12,PEGI
224,Guitar Hero III: Legends of Rock,wii,2007,Misc,Activision,3.06,1.12,0,0.44,4.62,FALSE,12,PEGI
225,The Legend of Zelda: A Link to the Past,snes,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,,3,pre-1994
226,The Legend of Zelda: The Wind Waker,gc,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,,7,PEGI
227,Luigi's Mansion: Dark Moon,3ds,2013,Action,Nintendo,1.78,1.39,1.1,0.3,4.58,,7,PEGI
228,Mario & Sonic at the Olympic Winter Games,wii,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58,FALSE,3,PEGI
229,Splatoon,wiiu,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57,,7,PEGI
230,Madden NFL 2005,ps2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,,3,PEGI
231,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5,,3,pre-1994
232,Madden NFL 07,ps2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,,3,PEGI
233,Spider-Man: The Movie,ps2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,,12,PEGI
234,Dragon Quest VII: Warriors of Eden,ps,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47,,12,ESRB
235,God of War,ps2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,,18,PEGI
236,Call of Duty: Advanced Warfare,ps3,2014,Shooter,Activision,1.54,1.94,0.19,0.77,4.45,,18,PEGI
237,Nintendo Land,wiiu,2012,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44,,7,PEGI
238,Michael Jackson: The Experience,wii,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42,FALSE,7,ESRB
239,Tony Hawk's Pro Skater 3,ps2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,,12,ESRB
240,Winning Eleven: Pro Evolution Soccer 2007,ps2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,,3,PEGI
241,Zelda II: The Adventure of Link,nes,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38,,3,pre-1994
242,Need for Speed: Most Wanted,ps2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,,12,PEGI
