Rank,Name,Platform,release_date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,controller_support,name_norm,PEGI_Rating
13320,2 Games in 1: Sonic Pinball Party & Columns Crown,gba,2005,Misc,Sega,0.04,0.02,0,0,0.06,,2 games in 1 sonic pinball party and columns crown,
4744,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,gba,2005,Platform,THQ,0.33,0.12,0,0.01,0.45,,2 games in 1 spongebob squarepants supersponge and rugrats go wild,
4093,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,xb,2004,Misc,Sega,0.4,0.11,0,0.02,0.53,,2 in 1 combo pack sonic heroes super monkey ball deluxe,
11533,2-in-1 Game Pack: Spider-Man & Spider-Man 2,gba,2005,Platform,Activision,0.06,0.02,0,0,0.09,,2 in 1 game pack spider man and spider man 2,
13628,2002 FIFA World Cup,gc,2002,Sports,Electronic Arts,0.04,0.01,0,0,0.05,,2002 fifa world cup,3
3681,2002 FIFA World Cup,ps2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,,2002 fifa world cup,3
8444,2002 FIFA World Cup,xb,2002,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19,,2002 fifa world cup,3
1797,2010 FIFA World Cup South Africa,ps3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,,2010 fifa world cup south africa,
4477,2010 FIFA World Cup South Africa,psp,2010,Sports,Electronic Arts,0.09,0.24,0.03,0.12,0.48,,2010 fifa world cup south africa,
4901,2010 FIFA World Cup South Africa,wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.43,True,2010 fifa world cup south africa,
3131,2014 FIFA World Cup Brazil,ps3,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71,,2014 fifa world cup brazil,
6383,24: The Game,ps2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,,24 the game,16
5002,25 to Life,ps2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42,,25 to life,18
8831,25 to Life,xb,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01,0.17,,25 to life,
1542,2Xtreme,ps,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4,,2xtreme,
19428,3 Count Bout,ng,1993,,,,,,,0.002,,3 count bout,
12309,"3 in 1: Solitaire, Mahjong & Tangram",ds,2010,Misc,Deep Silver,0,0.07,0,0.01,0.08,,3 in 1 solitaire mahjong and tangram,
5162,300: March to Glory,psp,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.06,0.41,,300 march to glory,18
15388,3D Baseball,ps,1996,Sports,BMG Interactive Entertainment,0.02,0.01,0,0,0.03,,3d baseball,
3837,3D Dot Game Heroes,ps3,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.57,,3d dot game heroes,7
13050,3D Lemmings,ps,1995,Puzzle,Psygnosis,0.03,0.02,0,0,0.06,,3d lemmings,
11349,3D Tank Warfare Simulator Panzer Front,ps,1999,Simulation,Avalon Interactive,0.06,0.04,0,0.01,0.1,,3d tank warfare simulator panzer front,
14921,3D Tetris,virtualboy,1996,,,,,,,0.038,,3d tetris,
19641,3DO Buffet,3do,1994,,,,,,,0.002,,3do buffet,
19640,3DO Interactive Sampler CD,3do,1994,,,,,,,0.002,,3do interactive sampler cd,
19555,3DO Interactive Sampler CD 10,3do,1994,,,,,,,0.002,,3do interactive sampler cd 10,
19479,3DO Interactive Sampler CD 11,3do,1994,,,,,,,0.002,,3do interactive sampler cd 11,
19480,3DO Interactive Sampler CD 12,3do,1994,,,,,,,0.002,,3do interactive sampler cd 12,
19481,3DO Interactive Sampler CD 13,3do,1994,,,,,,,0.002,,3do interactive sampler cd 13,
19482,3DO Interactive Sampler CD 14,3do,1994,,,,,,,0.002,,3do interactive sampler cd 14,
19483,3DO Interactive Sampler CD 15,3do,1994,,,,,,,0.002,,3do interactive sampler cd 15,
19484,3DO Interactive Sampler CD 16,3do,1994,,,,,,,0.002,,3do interactive sampler cd 16,
19485,3DO Interactive Sampler CD 17,3do,1994,,,,,,,0.002,,3do interactive sampler cd 17,
19486,3DO Interactive Sampler CD 18,3do,1994,,,,,,,0.002,,3do interactive sampler cd 18,
19487,3DO Interactive Sampler CD 19,3do,1994,,,,,,,0.002,,3do interactive sampler cd 19,
19639,3DO Interactive Sampler CD 2,3do,1994,,,,,,,0.002,,3do interactive sampler cd 2,
19638,3DO Interactive Sampler CD 3,3do,1994,,,,,,,0.002,,3do interactive sampler cd 3,
19637,3DO Interactive Sampler CD 4,3do,1994,,,,,,,0.002,,3do interactive sampler cd 4,
19636,3DO Interactive Sampler CD 5,3do,1994,,,,,,,0.002,,3do interactive sampler cd 5,
19635,3DO Interactive Sampler CD 6,3do,1994,,,,,,,0.002,,3do interactive sampler cd 6,
19576,3DO Interactive Sampler CD 7,3do,1994,,,,,,,0.002,,3do interactive sampler cd 7,
19557,3DO Interactive Sampler CD 8,3do,1994,,,,,,,0.002,,3do interactive sampler cd 8,
19477,3DO Interactive Sampler CD 9,3do,1994,,,,,,,0.002,,3do interactive sampler cd 9,
15330,3DS Classic Collection,3ds,2016,Misc,Sega,0.02,0,0,0,0.03,,3ds classic collection,
2532,3Xtreme,ps,1999,Action,989 Studios,0.5,0.34,0,0.06,0.9,,3xtreme,
7500,3rd Super Robot Wars Z Jigoku Hen,ps3,2014,Role-Playing,Namco Bandai Games,0,0,0.23,0,0.23,,3rd super robot wars z jigoku hen,
8243,3rd Super Robot Wars Z Jigoku Hen,psv,2014,Role-Playing,Namco Bandai Games,0,0,0.19,0,0.19,,3rd super robot wars z jigoku hen,
9453,3rd Super Robot Wars Z: Tengoku-Hen,ps3,2015,Action,Namco Bandai Games,0,0,0.15,0,0.15,,3rd super robot wars z tengoku hen,
8349,3rd Super Robot Wars Z: Tengoku-Hen,psv,2015,Action,Namco Bandai Games,0,0,0.19,0,0.19,,3rd super robot wars z tengoku hen,
10282,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,ds,2005,Misc,Atari,0.11,0,0,0.01,0.12,,4 game fun pack monopoly boggle yahtzee battleship,
1475,4 Nin uchi Mahjong,nes,1984,Misc,Nintendo,0,0,1.45,0,1.45,,4 nin uchi mahjong,
6206,40 Winks,ps,1999,Platform,GT Interactive,0.17,0.12,0,0.02,0.31,,40 winks,
16569,428: Fuusa Sareta Shibuya de,ps3,2009,Adventure,Spike,0,0,0.02,0,0.02,,428 fuusa sareta shibuya de,
14566,428: Fuusa Sareta Shibuya de,psp,2009,Adventure,Spike,0,0,0.04,0,0.04,,428 fuusa sareta shibuya de,
10038,428: Fuusa Sareta Shibuya de,wii,2008,Adventure,Sega,0,0,0.13,0,0.13,False,428 fuusa sareta shibuya de,
9555,4x4 EVO 2,gc,2002,Racing,Vivendi Games,0.11,0.03,0,0,0.14,,4x4 evo 2,
7267,4x4 EVO 2,xb,2001,Racing,Gathering of Developers,0.18,0.05,0,0.01,0.24,,4x4 evo 2,
6069,4x4 Evolution,ps2,2001,Racing,Gathering of Developers,0.16,0.12,0,0.04,0.32,,4x4 evolution,
8474,50 Cent: Blood on the Sand,ps3,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,,50 cent blood on the sand,18
1116,50 Cent: Bulletproof,ps2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,,50 cent bulletproof,18
11668,50 Cent: Bulletproof,psp,2006,Action,Vivendi Games,0.08,0,0,0.01,0.09,,50 cent bulletproof,
4878,50 Cent: Bulletproof,xb,2005,Action,Vivendi Games,0.33,0.1,0,0.02,0.44,,50 cent bulletproof,18
16002,50 Classic Games,3ds,2012,Misc,Avanquest Software,0,0.02,0,0,0.02,,50 classic games,
3932,50 Classic Games,ds,2009,Misc,Destineer,0.52,0,0,0.04,0.55,,50 classic games,12
7750,64 de Hakken! Tamagotchi Minna de Tamagotchi World,n64,1997,Misc,Namco Bandai Games,0,0,0.22,0,0.22,,64 de hakken tamagotchi minna de tamagotchi world,
6074,7 Wonders II,ds,2009,Puzzle,Rondomedia,0.14,0.15,0,0.03,0.32,,7 wonders 2,3
9890,7 Wonders of the Ancient World,ds,2007,Puzzle,Funsta,0.1,0.01,0,0.01,0.13,,7 wonders of the ancient world,
11936,7 Wonders of the Ancient World,psp,2007,Puzzle,Mumbo Jumbo,0.07,0,0,0.01,0.08,,7 wonders of the ancient world,
13999,7 Wonders: Treasures of Seven,ds,2011,Puzzle,Avanquest,0.02,0.03,0,0.01,0.05,,7 wonders treasures of seven,3
9693,7th Dragon,ds,2009,Role-Playing,Sega,0,0,0.14,0,0.14,,7th dragon,
8163,7th Dragon 2020,psp,2011,Role-Playing,Sega,0,0,0.2,0,0.2,,7th dragon 2020,
9964,7th Dragon 2020-II,psp,2013,Role-Playing,Sega,0,0,0.13,0,0.13,,7th dragon 2020 2,
9105,7th Dragon III Code: VFD,3ds,2015,Role-Playing,Sega,0.03,0,0.12,0,0.16,,7th dragon 3 code vfd,12
14806,99 no Namida,ds,2008,Adventure,Namco Bandai Games,0,0,0.04,0,0.04,,99 no namida,
4897,"999: Nine Hours, Nine Persons, Nine Doors",ds,2009,Adventure,ChunSoft,0.37,0,0.03,0.03,0.43,,999 nine hours nine persons nine doors,
7783,A Boy and His Blob,wii,2009,Platform,Majesco Entertainment,0.19,0.02,0,0.02,0.22,True,a boy and his blob,7
3480,A Bug's Life,n64,1998,Platform,Activision,0.49,0.13,0,0.01,0.63,,a bug s life,
621,A Bug's Life,ps,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11,2.79,,a bug s life,
1572,A Collection of Activision Classic Games for the Atari 2600,ps,1998,Misc,Activision,0.76,0.52,0,0.09,1.37,,a collection of activision classic games for the atari 2600,
6182,A Collection of Classic Games from the Intellivision,ps,1999,Misc,Activision,0.17,0.12,0,0.02,0.31,,a collection of classic games from the intellivision,
15680,A Good Librarian Like a Good Shepherd: Library Party,psv,2015,Action,Kaga Create,0,0,0.03,0,0.03,,a good librarian like a good shepherd library party,
15242,A Ressha de Gyoukou 2001,ps2,2001,Simulation,ArtDink,0,0,0.03,0,0.03,,a ressha de gyoukou 2001,
14796,A Ressha de Ikou DS,ds,2009,Simulation,ArtDink,0,0,0.04,0,0.04,,a ressha de ikou ds,
10851,A Witch's Tale,ds,2009,Role-Playing,Nippon Ichi Software,0.08,0,0.03,0.01,0.11,,a witch s tale,
13285,A llI S.V.: A Ressha de Gyoukou 3 Super Version,snes,1995,Simulation,Pack-In-Video,0,0,0.06,0,0.06,,a lli s v a ressha de gyoukou 3 super version,
12029,A-Train,ps,1995,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01,0.08,,a train,
13126,A-Train 6,ps2,2000,Strategy,Midas Interactive Entertainment,0,0,0.06,0,0.06,,a train 6,3
13305,A-Train: City Simulator,3ds,2014,Simulation,ArtDink,0,0,0.06,0,0.06,,a train city simulator,
7172,A. IV Evolution: A Ressha de Ikou 4,ps,1994,Strategy,ArtDink,0,0,0.24,0.02,0.25,,a 4 evolution a ressha de ikou 4,
6922,A.C.E.: Another Century's Episode,ps2,2005,Simulation,Banpresto,0,0,0.26,0,0.26,,a c e another century s episode,
8617,A.C.E.: Another Century's Episode 2,ps2,2006,Simulation,Banpresto,0,0,0.18,0,0.18,,a c e another century s episode 2,
6989,A.C.E.: Another Century's Episode 3: The Final,ps2,2007,Simulation,Banpresto,0,0,0.26,0,0.26,,a c e another century s episode 3 the final,
10241,A.C.E.: Another Century's Episode Portable,psp,2011,Simulation,Namco Bandai Games,0,0,0.12,0,0.12,,a c e another century s episode portable,
7029,A.C.E.: Another Century's Episode R,ps3,2010,Simulation,Namco Bandai Games,0,0,0.26,0,0.26,,a c e another century s episode r,
19292,A.P.B.,lynx,1991,,,,,,,0.002,,a p b,
2843,ABBA: You Can Dance,wii,2011,Misc,Ubisoft,0.19,0.5,0,0.11,0.8,False,abba you can dance,3
9066,AC/DC LIVE: Rock Band Track Pack,ps2,2008,Misc,MTV Games,0.08,0.06,0,0.02,0.16,,ac dc live rock band track pack,
7414,AC/DC LIVE: Rock Band Track Pack,ps3,2008,Misc,MTV Games,0.21,0.01,0,0.02,0.24,,ac dc live rock band track pack,
6652,AC/DC LIVE: Rock Band Track Pack,wii,2008,Misc,MTV Games,0.25,0,0,0.02,0.28,False,ac dc live rock band track pack,
16084,AIR,psp,2007,Adventure,Prototype,0,0,0.02,0,0.02,,air,
11995,AKB1/149: Love Election,ps3,2013,Adventure,Namco Bandai Games,0,0,0.08,0,0.08,,akb1 149 love election,
7452,AKB1/149: Love Election,psp,2012,Adventure,Namco Bandai Games,0,0,0.23,0,0.23,,akb1 149 love election,
12474,AKB1/149: Love Election,psv,2012,Adventure,Namco Bandai Games,0,0,0.07,0,0.07,,akb1 149 love election,
5273,AKB1/48: Idol to Guam de Koishitara...,psp,2011,Misc,Namco Bandai Games,0,0,0.4,0,0.4,,akb1 48 idol to guam de koishitara,
5088,AKB1/48: Idol to Koishitara...,psp,2010,Misc,Namco Bandai Games,0,0,0.41,0,0.41,,akb1 48 idol to koishitara,
10661,AKB48+Me,3ds,2012,Action,Unknown,0,0,0.11,0,0.11,,akb48 me,
6338,AMF Bowling 2004,xb,2003,Sports,Mud Duck Productions,0.22,0.06,0,0.01,0.3,,amf bowling 2004,
12544,AMF Bowling Pinbusters!,ds,2008,Sports,Vir2L Studios,0.06,0,0,0,0.07,,amf bowling pinbusters,3
2525,AMF Bowling Pinbusters!,wii,2007,Sports,Bethesda Softworks,0.85,0,0,0.07,0.91,False,amf bowling pinbusters,3
5646,AMF Bowling World Lanes,wii,2008,Sports,Bethesda Softworks,0.33,0,0,0.03,0.36,False,amf bowling world lanes,
16778,AMF Xtreme Bowling,ps2,2006,Sports,Mastertronic,0.01,0.01,0,0,0.02,,amf xtreme bowling,
15314,AMNESIA World,psv,2014,Adventure,Idea Factory,0,0,0.03,0,0.03,,amnesia world,
665,ARMS,switch,2017,,,,,,,2.66,,arms,12
10327,ASH: Archaic Sealed Heat,ds,2007,Role-Playing,Nintendo,0,0,0.12,0,0.12,,ash archaic sealed heat,
743,ATV Offroad Fury,ps2,2001,Racing,Sony Computer Entertainment,2.07,0.26,0,0.08,2.41,,atv offroad fury,
861,ATV Offroad Fury 2,ps2,2002,Racing,THQ,1.92,0.2,0,0.06,2.18,,atv offroad fury 2,7
1843,ATV Offroad Fury 3,ps2,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2,,atv offroad fury 3,3
4684,ATV Offroad Fury Pro,psp,2006,Racing,Sony Computer Entertainment,0.37,0.04,0,0.05,0.46,,atv offroad fury pro,3
3811,ATV Offroad Fury: Blazin' Trails,psp,2005,Racing,SouthPeak Games,0.53,0,0,0.04,0.57,,atv offroad fury blazin trails,3
10914,ATV Quad Kings,ds,2010,Racing,Storm City Games,0.1,0,0,0.01,0.11,,atv quad kings,3
7642,ATV Quad Kings,wii,2009,Racing,Zoo Digital Publishing,0.21,0,0,0.01,0.22,False,atv quad kings,3
6576,ATV Quad Power Racing 2,gc,2003,Racing,Acclaim Entertainment,0.22,0.06,0,0.01,0.28,,atv quad power racing 2,
2717,ATV Quad Power Racing 2,ps2,2003,Racing,Acclaim Entertainment,0.41,0.32,0,0.11,0.84,,atv quad power racing 2,
4787,ATV Quad Power Racing 2,xb,2003,Racing,Acclaim Entertainment,0.36,0.07,0,0.01,0.45,,atv quad power racing 2,
5602,ATV/Monster Truck Mayhem,ds,2007,Racing,"Destination Software, Inc",0.33,0,0,0.02,0.36,,atv monster truck mayhem,
10608,ATV: Quad Frenzy,ds,2005,Racing,Majesco Entertainment,0.1,0,0,0.01,0.11,,atv quad frenzy,3
6972,ATV: Quad Power Racing,gba,2002,Racing,Liquid Games,0.18,0.07,0,0,0.26,,atv quad power racing,3
2204,ATV: Quad Power Racing,ps,2000,Racing,Acclaim Entertainment,0.58,0.39,0,0.07,1.04,,atv quad power racing,
17872,Aa Megami-samaa,ps2,2007,Adventure,Marvelous Interactive,0,0,0.01,0,0.01,,aa megami samaa,
17664,Abunai: Koi no Sousa Shitsu,psp,2012,Action,Quinrose,0,0,0.01,0,0.01,,abunai koi no sousa shitsu,
16401,Abunai: Koi no Sousa Shitsu,psv,2015,Action,Asgard,0,0,0.02,0,0.02,,abunai koi no sousa shitsu,
10140,Academy of Champions: Soccer,wii,2009,Sports,Ubisoft,0.1,0.02,0,0.01,0.13,False,academy of champions soccer,
15420,Accel World: Ginyoku no Kakusei,ps3,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03,,accel world ginyoku no kakusei,
15715,Accel World: Ginyoku no Kakusei,psp,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03,,accel world ginyoku no kakusei,
16201,Accel World: Kasoku no Chouten,ps3,2013,Adventure,Namco Bandai Games,0,0,0.02,0,0.02,,accel world kasoku no chouten,
17583,Accel World: Kasoku no Chouten,psp,2013,Adventure,Namco Bandai Games,0,0,0.01,0,0.01,,accel world kasoku no chouten,
6781,Ace Attorney 6,3ds,2016,Adventure,Capcom,0,0,0.27,0,0.27,,ace attorney 6,
7060,Ace Attorney Investigations 2,ds,2011,Adventure,Capcom,0,0,0.26,0,0.26,,ace attorney investigations 2,
2968,Ace Attorney Investigations: Miles Edgeworth,ds,2009,Adventure,Capcom,0.27,0.15,0.3,0.04,0.76,,ace attorney investigations miles edgeworth,12
516,Ace Combat 04: Shattered Skies,ps2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,,ace combat 04 shattered skies,
2594,Ace Combat 2,ps,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,,ace combat 2,
2751,Ace Combat 3: Electrosphere,ps,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,,ace combat 3 electrosphere,
1176,Ace Combat 5: The Unsung War,ps2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,,ace combat 5 the unsung war,
2332,Ace Combat X: Skies of Deception,psp,2006,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99,,ace combat x skies of deception,12
4240,Ace Combat Zero: The Belkan War,ps2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,,ace combat zero the belkan war,
3031,Ace Combat: Assault Horizon,ps3,2011,Action,Namco Bandai Games,0.3,0.16,0.22,0.07,0.74,,ace combat assault horizon,16
7356,Ace Combat: Assault Horizon Legacy,3ds,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,,ace combat assault horizon legacy,12
6528,Ace Combat: Joint Assault,psp,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,,ace combat joint assault,12
18144,Ace of Aces,atari7800,1988,,,,,,,0.007,,ace of aces,
1963,Action Bass,ps,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14,,action bass,
4013,Action Force,2600,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54,,action force,
11566,Action Man-Operation Extreme,ps,,Action,,0.05,0.03,0,0.01,0.09,,action man operation extreme,
8272,Active Health with Carol Vorderman,ds,2009,Sports,Nintendo,0,0.18,0,0.01,0.19,,active health with carol vorderman,3
9272,Active Life Explorer,wii,2010,Sports,Namco Bandai Games,0.14,0,0,0.01,0.15,False,active life explorer,
4498,Active Life: Extreme Challenge,wii,2009,Sports,Namco Bandai Games,0.15,0.27,0,0.06,0.48,False,active life extreme challenge,
13659,Active Life: Magical Carnival,wii,2011,Misc,Namco Bandai Games,0.04,0.01,0,0,0.05,False,active life magical carnival,
1344,Active Life: Outdoor Challenge,wii,2008,Sports,Atari,0.79,0.44,0.19,0.14,1.55,False,active life outdoor challenge,
14217,Activision Anthology,gba,2003,Misc,Activision,0.03,0.01,0,0,0.05,,activision anthology,
4305,Activision Anthology,ps2,2002,Misc,Activision,0.25,0.19,0,0.06,0.5,,activision anthology,
13172,Activision Hits: Remixed,psp,2006,Misc,Activision,0.05,0,0,0,0.06,,activision hits remixed,3
9989,Actua Tennis,ps,1997,Sports,Gremlin Interactive Ltd,0.07,0.05,0,0.01,0.13,,actua tennis,3
14900,Adidas Power Soccer,ps,1996,Sports,Psygnosis,0.02,0.01,0,0,0.04,,adidas power soccer,
16033,Adidas Power Soccer 98,ps,1998,Sports,Psygnosis,0.01,0.01,0,0,0.02,,adidas power soccer 98,
14578,Advance Guardian Heroes,gba,2004,Role-Playing,Ubisoft,0.03,0.01,0,0,0.04,,advance guardian heroes,
3203,Advance Wars,gba,2001,Strategy,Nintendo,0.5,0.19,0,0.01,0.7,,advance wars,
3387,Advance Wars 2: Black Hole Rising,gba,2003,Strategy,Nintendo,0.47,0.17,0,0.01,0.65,,advance wars 2 black hole rising,7
